Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,19.8491,0,0.0,45,112.7485,0.04203,0.001586,0.0,0.0,Mar,2,2,2,2,Returning_Visitor,1,1
3,3.4694,1,0.0,3,1604.2581,0.005803,0.001101,26.113341,0.0,Dec,3,2,3,8,Returning_Visitor,0,0
0,11.4865,0,0.0,2,1940.3078,0.019267,0.003524,23.075487,0.0,May,2,2,2,3,Returning_Visitor,0,0
0,11.565,0,0.0,13,36.9397,0.007883,0.016268,0.0,0.0,June,2,1,1,3,Returning_Visitor,0,0
1,52.2312,0,0.0,1,552.6226,0.006059,0.025757,0.0,0.0,Mar,1,2,1,2,Returning_Visitor,1,1
0,1507.4874,0,0.0,0,179.6674,0.027881,0.003072,6.426879,0.0,May,2,2,1,4,Returning_Visitor,1,0
5,42.2945,0,50.6194,1,141.7557,0.058452,0.002784,0.0,0.0,June,3,2,1,3,Returning_Visitor,0,0
0,2.0999,0,0.0,23,526.1412,0.014731,0.019218,58.515428,0.0,Sep,3,2,4,2,New_Visitor,0,1
0,3.6953,0,0.0,13,1251.9347,0.001247,0.005146,0.0,0.0,Dec,2,1,7,11,Returning_Visitor,0,0
0,339.2379,0,0.0,23,99.6172,0.001469,0.00121,0.0,0.0,Nov,2,2,2,1,New_Visitor,0,1
0,0.0068,2,0.0,1,15.9709,0.058381,0.017201,0.0,0.0,Jul,2,2,3,1,New_Visitor,0,0
0,21.9126,0,0.0,48,60.4881,0.075096,0.003648,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,0,0
0,14.7946,0,0.0,0,356.4913,0.0014,0.010634,0.0,0.0,May,2,2,4,1,Returning_Visitor,0,0
1,0.2547,0,0.0,46,14.8544,0.004603,0.049364,14.088932,0.0,Mar,3,2,3,2,Returning_Visitor,0,0
0,14.2416,0,0.0,12,28925.2949,0.0,0.0148,0.0,0.0,Jul,2,2,3,10,Returning_Visitor,0,0
15,2.5649,0,0.0,30,2211.251,0.023929,0.005951,0.0,0.0,Dec,2,2,3,6,Returning_Visitor,1,0
0,15.4322,0,0.0,13,823.6594,0.006019,0.04527,0.0,0.0,Nov,3,13,1,13,Returning_Visitor,0,0
2,115.5739,0,0.0,81,48.9351,0.037154,0.02456,0.0,0.8,Dec,1,2,8,4,Returning_Visitor,0,1
0,1.3416,0,21.1981,92,730.9818,0.026196,0.099591,0.0,0.0,Aug,1,2,4,1,Returning_Visitor,0,1
